#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den    phistar
26    26.5 1.566   2.5     0     5     5        0.816609 0.820253 0.812965 395     0
26    26.5 1.566   2.5     11    102   5        0.399879 0.414422 0.385336 57.7872 0
26    26.5 1.566   2.5     5     11    5        0.639276 0.649462 0.629091 275     0
26    26.5 -2.5    -1.566  0     5     5        0.804141 0.812139 0.796143 363     0
26    26.5 -2.5    -1.566  11    102   5        0.424318 0.470588 0.378049 34      0
26    26.5 -2.5    -1.566  5     11    5        0.619136 0.620988 0.617284 324     0
26.5  27   -1.4442 1.4442  0     5     5        0.86941  0.872037 0.866784 1258    0
26.5  27   -1.4442 1.4442  11    102   5        0.538426 0.550104 0.526749 258     0
26.5  27   -1.4442 1.4442  5     11    5        0.737083 0.741284 0.732883 1151    0
26.5  27   1.566   2.5     0     5     5        0.863496 0.866472 0.86052  423     0
26.5  27   1.566   2.5     11    102   5        0.425657 0.432836 0.418478 67      0
26.5  27   1.566   2.5     5     11    5        0.629494 0.630527 0.628462 323     0
26.5  27   -2.5    -1.566  0     5     5        0.811512 0.817919 0.805105 346     0
26.5  27   -2.5    -1.566  11    102   5        0.38214  0.395349 0.368932 43      0
26.5  27   -2.5    -1.566  5     11    5        0.624281 0.632075 0.616487 318     0
27    27.5 -1.4442 1.4442  0     5     5        0.890342 0.899232 0.881452 1363    0
27    27.5 -1.4442 1.4442  11    102   5        0.573108 0.573529 0.572687 240     0
27    27.5 -1.4442 1.4442  5     11    5        0.753023 0.756482 0.749564 1266    0
27    27.5 1.566   2.5     0     5     5        0.822776 0.82851  0.817043 399     0
27    27.5 1.566   2.5     11    102   5        0.238265 0.295803 0.180728 55.8022 0
27    27.5 1.566   2.5     5     11    5        0.655414 0.675607 0.63522  318     0
27    27.5 -2.5    -1.566  0     5     5        0.84755  0.856499 0.838602 409     0
27    27.5 -2.5    -1.566  11    102   5        0.558162 0.572464 0.54386  57      0
27    27.5 -2.5    -1.566  5     11    5        0.681217 0.695767 0.666667 321     0
27.5  28   -1.4442 1.4442  0     5     5        0.88795  0.891284 0.884615 1409    0
27.5  28   -1.4442 1.4442  11    102   5        0.570441 0.574468 0.566414 250     0
27.5  28   -1.4442 1.4442  5     11    5        0.772264 0.77745  0.767078 1301    0
27.5  28   1.566   2.5     0     5     5        0.876413 0.880734 0.872093 430     0
27.5  28   1.566   2.5     11    102   5        0.463698 0.487395 0.44     50      0
27.5  28   1.566   2.5     5     11    5        0.712871 0.724292 0.701449 345     0
27.5  28   -2.5    -1.566  0     5     5        0.841751 0.84323  0.840272 421     0
27.5  28   -2.5    -1.566  11    102   5        0.455858 0.457031 0.454686 59      0
27.5  28   -2.5    -1.566  5     11    5        0.596425 0.618702 0.574148 326     0
28    28.5 -1.4442 1.4442  0     5     5        0.891992 0.896937 0.887048 1433    0
28    28.5 -1.4442 1.4442  11    102   5        0.567933 0.57092  0.564945 266.669 0
28    28.5 -1.4442 1.4442  5     11    5        0.768005 0.769951 0.766059 1359    0
28    28.5 1.566   2.5     0     5     5        0.869418 0.871795 0.867041 429     0
28    28.5 1.566   2.5     11    102   5        0.32208  0.340326 0.303834 46.3367 0
28    28.5 1.566   2.5     5     11    5        0.645033 0.655786 0.63428  337     0
28    28.5 -2.5    -1.566  0     5     5        0.822302 0.823144 0.821461 458     0
28    28.5 -2.5    -1.566  11    102   5        0.470298 0.482759 0.457838 58      0
28    28.5 -2.5    -1.566  5     11    5        0.676734 0.687166 0.666303 374     0
28.5  29   -1.4442 1.4442  0     5     5        0.880426 0.883543 0.877309 1605    0
28.5  29   -1.4442 1.4442  11    102   5        0.586964 0.592847 0.581081 306     0
28.5  29   -1.4442 1.4442  5     11    5        0.770595 0.774714 0.766476 1481    0
28.5  29   1.566   2.5     0     5     5        0.83477  0.838269 0.831272 439     0
28.5  29   1.566   2.5     11    102   5        0.592004 0.628141 0.555866 53.9698 0
28.5  29   1.566   2.5     5     11    5        0.653367 0.656883 0.649852 337     0
28.5  29   -2.5    -1.566  0     5     5        0.834709 0.843915 0.825503 447     0
28.5  29   -2.5    -1.566  11    102   5        0.604457 0.61875  0.590164 61      0
28.5  29   -2.5    -1.566  5     11    5        0.640452 0.643301 0.637602 367     0
29    29.5 -1.4442 1.4442  0     5     5        0.907073 0.913262 0.900884 1671    0
29    29.5 -1.4442 1.4442  11    102   5        0.620982 0.623287 0.618677 272     0
29    29.5 -1.4442 1.4442  5     11    5        0.795715 0.799518 0.791911 1597    0
29    29.5 1.566   2.5     0     5     5        0.845601 0.84973  0.841472 486.694 0
29    29.5 1.566   2.5     11    102   5        0.444628 0.483736 0.405519 64      0
29    29.5 1.566   2.5     5     11    5        0.668471 0.681294 0.655647 364     0
29    29.5 -2.5    -1.566  0     5     5        0.837352 0.840634 0.834071 452     0
29    29.5 -2.5    -1.566  11    102   5        0.569597 0.59374  0.545455 66      0
29    29.5 -2.5    -1.566  5     11    5        0.646556 0.662349 0.630764 386     0
29.5  30   -1.4442 1.4442  0     5     5        0.904975 0.906431 0.903519 1718    0
29.5  30   -1.4442 1.4442  11    102   5        0.612504 0.61811  0.606898 310.496 0
29.5  30   -1.4442 1.4442  5     11    5        0.794311 0.799148 0.789474 1615    0
29.5  30   1.566   2.5     0     5     5        0.836164 0.841187 0.83114  456     0
29.5  30   1.566   2.5     11    102   5        0.477721 0.506166 0.449275 69      0
29.5  30   1.566   2.5     5     11    5        0.70542  0.706773 0.704068 366     0
29.5  30   -2.5    -1.566  0     5     5        0.869003 0.880863 0.857143 427     0
29.5  30   -2.5    -1.566  11    102   5        0.626234 0.638181 0.614286 70      0
29.5  30   -2.5    -1.566  5     11    5        0.675273 0.67882  0.671726 401.949 0
30    30.5 -1.4442 1.4442  0     5     5        0.915894 0.917534 0.914253 1833    0
30    30.5 -1.4442 1.4442  11    102   5        0.652205 0.658068 0.646341 336     0
30    30.5 -1.4442 1.4442  5     11    5        0.812866 0.815314 0.810418 1689    0
30    30.5 1.566   2.5     0     5     5        0.898011 0.898319 0.897704 479     0
30    30.5 1.566   2.5     11    102   5        0.47708  0.480441 0.473719 52.7739 0
30    30.5 1.566   2.5     5     11    5        0.69442  0.696532 0.692308 390     0
30    30.5 -2.5    -1.566  0     5     5        0.862683 0.869098 0.856267 450.558 0
30    30.5 -2.5    -1.566  11    102   5        0.468849 0.472909 0.464789 71      0
30    30.5 -2.5    -1.566  5     11    5        0.64135  0.652427 0.630272 389.829 0
30.5  31   -1.4442 1.4442  0     5     5        0.922445 0.924015 0.920875 1987    0
30.5  31   -1.4442 1.4442  11    102   5        0.627321 0.634002 0.62064  355.858 0
30.5  31   -1.4442 1.4442  5     11    5        0.816047 0.817752 0.814341 1846    0
30.5  31   1.566   2.5     0     5     5        0.861751 0.865385 0.858118 524     0
30.5  31   1.566   2.5     11    102   5        0.5512   0.554454 0.547945 73      0
30.5  31   1.566   2.5     5     11    5        0.656963 0.669704 0.644222 440     0
30.5  31   -2.5    -1.566  0     5     5        0.886108 0.892009 0.880207 491.263 0
30.5  31   -2.5    -1.566  11    102   5        0.420782 0.421875 0.419689 65      0
30.5  31   -2.5    -1.566  5     11    5        0.633789 0.644628 0.622951 363     0
31    31.5 -1.4442 1.4442  0     5     5        0.921628 0.924105 0.919151 2035    0
31    31.5 -1.4442 1.4442  11    102   5        0.651869 0.65668  0.647059 381     0
31    31.5 -1.4442 1.4442  5     11    5        0.808002 0.811324 0.804681 1889.94 0
31    31.5 1.566   2.5     0     5     5        0.845268 0.85041  0.840127 489     0
31    31.5 1.566   2.5     11    102   5        0.589158 0.603604 0.574713 87      0
31    31.5 1.566   2.5     5     11    5        0.740796 0.748713 0.732879 409.781 0
31    31.5 -2.5    -1.566  0     5     5        0.873211 0.881983 0.86444  509     0
31    31.5 -2.5    -1.566  11    102   5        0.523608 0.528197 0.51902  68      0
31    31.5 -2.5    -1.566  5     11    5        0.724138 0.726563 0.721713 384     0
31.5  32   -1.4442 1.4442  0     5     5        0.933847 0.935435 0.93226  2157    0
31.5  32   -1.4442 1.4442  11    102   5        0.658178 0.661093 0.655263 386     0
31.5  32   -1.4442 1.4442  5     11    5        0.83573  0.837099 0.834361 1942    0
31.5  32   1.566   2.5     0     5     5        0.843852 0.847402 0.840301 508.148 0
31.5  32   1.566   2.5     11    102   5        0.393479 0.415472 0.371486 83.9256 0
31.5  32   1.566   2.5     5     11    5        0.725408 0.735725 0.715091 470     0
31.5  32   -2.5    -1.566  0     5     5        0.86342  0.866474 0.860366 494.757 0
31.5  32   -2.5    -1.566  11    102   5        0.416234 0.417722 0.414747 79      0
31.5  32   -2.5    -1.566  5     11    5        0.724641 0.734318 0.714964 421     0
32    32.5 -1.4442 1.4442  0     5     5        0.926362 0.928622 0.924101 2287    0
32    32.5 -1.4442 1.4442  11    102   5        0.68888  0.6913   0.686461 424     0
32    32.5 -1.4442 1.4442  5     11    5        0.83196  0.833994 0.829925 2039    0
32    32.5 1.566   2.5     0     5     5        0.881465 0.883015 0.879915 532.932 0
32    32.5 1.566   2.5     11    102   5        0.482855 0.490099 0.47561  82      0
32    32.5 1.566   2.5     5     11    5        0.697463 0.698981 0.695946 444     0
32    32.5 -2.5    -1.566  0     5     5        0.886544 0.886574 0.886513 520.999 0
32    32.5 -2.5    -1.566  11    102   5        0.530996 0.538462 0.52353  65      0
32    32.5 -2.5    -1.566  5     11    5        0.710739 0.727034 0.694444 432     0
32.5  33   -1.4442 1.4442  0     5     5        0.927644 0.929    0.926288 2424.78 0
32.5  33   -1.4442 1.4442  11    102   5        0.662528 0.663221 0.661836 418     0
32.5  33   -1.4442 1.4442  5     11    5        0.843025 0.846437 0.839614 2198    0
32.5  33   1.566   2.5     0     5     5        0.881194 0.887145 0.875244 513     0
32.5  33   1.566   2.5     11    102   5        0.670323 0.675676 0.66497  74      0
32.5  33   1.566   2.5     5     11    5        0.771435 0.77517  0.7677   409.97  0
32.5  33   -2.5    -1.566  0     5     5        0.866739 0.8731   0.860377 530     0
32.5  33   -2.5    -1.566  11    102   5        0.633367 0.648756 0.617978 89      0
32.5  33   -2.5    -1.566  5     11    5        0.699929 0.706546 0.693311 444     0
33    33.5 -1.4442 1.4442  0     5     5        0.932799 0.935118 0.930479 2381    0
33    33.5 -1.4442 1.4442  11    102   5        0.673232 0.675174 0.671289 435     0
33    33.5 -1.4442 1.4442  5     11    5        0.844966 0.8454   0.844532 2370    0
33    33.5 1.566   2.5     0     5     5        0.926075 0.92923  0.922921 493     0
33    33.5 1.566   2.5     11    102   5        0.575472 0.584416 0.566528 77      0
33    33.5 1.566   2.5     5     11    5        0.712838 0.715892 0.709784 452.582 0
33    33.5 -2.5    -1.566  0     5     5        0.86818  0.877013 0.859346 518.999 0
33    33.5 -2.5    -1.566  11    102   5        0.547982 0.555799 0.540164 73.8365 0
33    33.5 -2.5    -1.566  5     11    5        0.688744 0.70352  0.673968 483     0
33.5  34   -1.4442 1.4442  0     5     5        0.934954 0.936837 0.933071 2574.86 0
33.5  34   -1.4442 1.4442  11    102   5        0.655285 0.662577 0.647993 481.004 0
33.5  34   -1.4442 1.4442  5     11    5        0.858145 0.86023  0.856061 2399    0
33.5  34   1.566   2.5     0     5     5        0.890868 0.891026 0.89071  549     0
33.5  34   1.566   2.5     11    102   5        0.553644 0.55914  0.548148 93      0
33.5  34   1.566   2.5     5     11    5        0.746145 0.755328 0.736961 442     0
33.5  34   -2.5    -1.566  0     5     5        0.899265 0.900348 0.898182 550     0
33.5  34   -2.5    -1.566  11    102   5        0.563068 0.579989 0.546147 66.918  0
33.5  34   -2.5    -1.566  5     11    5        0.695034 0.701769 0.6883   510     0
34    34.5 -1.4442 1.4442  0     5     5        0.944355 0.945917 0.942793 2682    0
34    34.5 -1.4442 1.4442  11    102   5        0.723964 0.724435 0.723493 482     0
34    34.5 -1.4442 1.4442  5     11    5        0.858645 0.859676 0.857613 2442    0
34    34.5 1.566   2.5     0     5     5        0.866266 0.874302 0.85823  583     0
